8.3259,6.9343,5.7096,6.6263,6.8115,4.9086,6.8098,6.5971,6.873,6.7451
15.2277,15.1992,13.2262,15.0935,14.3248,10.579,16.042,11.2022,12.072,15.1572
34.8894,28.5482,30.1933,31.2987,28.8091,32.5414,30.9281,31.1652,28.3837,26.6528
48.701,47.2457,44.1818,51.4545,37.854,48.8136,48.4315,45.8185,40.6157,43.1961
69.5676,70.0787,59.4647,62.3224,58.2483,64.8374,64.9553,64.5356,64.1312,64.6686
86.1198,81.6478,87.4014,73.423,77.4155,79.6348,75.2783,79.6711,77.8395,82.1731
111.0658,105.5242,94.7806,98.5379,96.6658,91.2888,103.4545,92.769,100.2646,94.1896
156.7568,133.4202,117.6964,110.6986,114.5255,124.2867,112.7812,114.0187,115.8532,121.2022
158.0312,148.7515,148.5225,117.438,141.9499,123.8801,128.8599,137.1199,132.4107,138.8102
221.8675,176.5063,167.3284,148.3876,151.966,146.4374,146.1397,164.4515,141.7763,145.5881
