5.6068,5.5449,5.4325,5.6967,6.2709,5.4998,6.2302,6.5860,3.8828,5.4867
12.0327,12.6272,14.5139,13.2662,12.1134,12.4704,12.4973,14.2828,7.7361,12.9359
15.7135,15.8582,18.5304,18.5236,17.9243,21.2826,19.5789,21.5621,16.3376,18.5798
21.8363,22.1306,25.3926,25.0818,21.3422,27.9806,27.3188,25.8360,22.7934,24.2754
47.7219,31.6161,29.3332,26.8927,24.2647,23.0765,31.9003,38.0207,34.0783,30.5895
31.5758,33.7002,36.3465,37.9308,27.9904,36.0516,40.0513,50.5745,39.6248,44.4424
37.8145,39.3700,43.4534,36.9991,46.4453,38.6892,43.4213,56.2867,42.7923,52.3489
81.8987,55.6918,61.4124,49.9414,47.6292,55.0752,51.6971,48.8894,42.6040,60.3926
61.5413,58.7913,56.8785,51.3807,58.1847,45.9415,62.1456,65.7422,56.8787,72.8871
69.4154,59.6542,59.5261,66.8917,67.7799,65.9907,65.5637,73.1466,73.7768,94.2767
