585.0474,346.0935,219.3652,202.6153,202.4229,212.3232,192.7674,201.8982,209.8547,194.8831
309.4975,265.9902,284.4734,224.4968,239.9505,248.7033,225.7505,217.5936,219.8415,228.5836
410.7362,245.6377,297.5995,208.9773,218.9388,222.3255,218.4511,207.5099,241.2689,235.0143
640.1660,242.3039,333.7705,249.5163,249.8634,257.2573,247.6196,232.6578,209.7754,218.4482
1209.6403,252.7007,277.1173,242.6864,241.4277,246.1357,242.7137,240.2845,248.4711,245.2323
1588.9053,253.2140,241.1755,264.4415,255.2225,263.1794,236.2276,231.4306,238.8367,220.7430
708.0949,275.6947,245.0427,290.1066,247.6420,276.7973,248.6961,245.3356,241.3797,246.9095
602.5747,265.6801,261.7140,308.1828,247.7637,272.7998,282.9961,257.0318,245.7090,253.0926
619.6342,298.5445,291.3876,304.1376,262.8505,274.2154,275.5122,289.9680,261.0206,270.0392
473.9750,280.8588,287.4287,319.6681,280.6706,278.6471,259.2384,288.6852,276.3923,265.2889
435.3529,310.8459,277.9447,343.5200,284.7379,306.4506,268.8217,313.9604,263.5764,272.5329
