0.6584,0.3208,0.5581,0.6745,0.5672,0.3850,0.5663,0.6267,0.6482,0.5851
1.2975,0.6905,0.9025,1.3205,1.2388,0.7939,1.2008,1.2782,1.3982,1.4635
2.0388,1.1110,1.5654,1.7876,1.9169,1.2539,1.8754,1.8402,1.8043,2.2801
2.6926,2.4247,2.9683,2.5255,2.5992,1.7510,2.5822,2.5916,2.5017,1.8699
3.7448,3.3457,3.1933,3.6852,3.7677,2.1103,3.2821,3.3224,3.8613,3.0665
3.8301,3.3603,4.5099,4.6085,4.4389,2.6001,4.0393,3.9648,4.5047,3.7586
5.1984,3.3423,3.7128,5.5927,5.6832,3.2850,4.8469,4.7576,5.3063,5.2054
3.4756,3.6579,3.2794,6.4631,6.2308,13.9449,6.0693,6.0106,5.4244,5.4633
13.3271,4.0743,3.5174,6.6350,4.2028,6.8541,7.0806,6.1413,7.0756,6.0984
4.4994,6.6475,7.4043,7.1843,4.8854,7.0859,7.0694,7.4539,6.9923,6.8569
