4.4010,6.6486,7.1563,6.6768,6.0216,3.7422,5.1671,6.0024,6.1091,5.7746
14.2044,10.8539,12.7434,13.4399,14.9078,10.4723,13.4918,13.8281,12.9630,12.9584
19.7501,19.3130,17.1280,18.4616,19.3730,22.5739,17.5959,19.7946,19.1254,20.5693
27.9795,16.6688,28.9131,25.7403,26.3700,25.5782,21.7007,17.2056,25.0840,23.7156
35.0718,31.1576,40.2195,34.4006,31.5845,30.6490,28.8890,20.3003,23.7240,25.1897
41.7771,41.7019,45.0619,35.7328,33.0105,35.6706,41.4635,24.7348,24.2247,38.5802
83.9188,45.5745,58.4254,49.7383,37.4391,47.1589,30.7117,46.1849,48.6269,44.2235
63.7628,57.1910,61.3951,54.8163,40.9588,49.8912,41.2631,45.1669,50.9133,41.6471
68.4419,65.9992,74.2543,65.9673,60.5042,63.8168,46.6824,63.4053,64.1095,60.3341
116.6045,60.3125,62.7648,71.9893,65.3622,56.1766,51.7349,65.7914,62.9793,59.0053
