3.9156,0.1435,1.3691,0.1044,0.1254,0.2468,0.2127,0.2302,0.2128,0.2391,0.320444444
1.1786,0.2486,0.2727,0.3644,0.3262,0.2494,0.411,0.3913,0.5365,0.5167,0.368533333
5.755,0.8388,0.8947,0.7843,0.9946,0.7778,0.8171,0.7789,0.9996,0.6173,0.833677778
3.5507,1.3654,1.3415,1.2459,1.6008,1.2764,1.3951,1.089,1.1605,0.8525,1.258566667
50.7163,1.8339,1.6607,1.4227,2.399,1.8428,1.8261,1.195,1.7395,1.989,1.767633333
3.655,2.6293,3.7683,2.0749,3.0859,2.6489,2.686,1.2519,3.2091,2.8387,2.688111111
2.8478,2.1886,3.7962,2.547,3.2498,3.0385,2.3056,1.8278,2.3058,2.7195,2.664311111
2.8572,4.3477,4.0302,3.252,4.9879,3.6955,1.9413,3.85,4.0538,3.2054,3.707088889
3.0576,3.879,7.0511,3.3743,7.409,4.328,2.3715,3.5841,4.2863,3.2539,4.393022222
3.2836,4.2495,6.5602,4.2272,8.7484,2.9146,2.8955,5.2397,3.5745,3.8284,4.693111111
3.4044,5.9338,6.1407,6.2488,8.0332,4.868,4.7446,3.7341,5.4935,4.114,5.478966667
,,,,,,,,,,
,,worst case ,best case,,,,,,,
,50000,0.320444444,220.2470556,,,,,,,
,100000,0.368533333,239.4870444,,,,,,,
,200000,0.833677778,232.8581111,,,,,,,
,300000,1.258566667,249.0236,,,,,,,
,400000,1.767633333,248.5299333,,,,,,,
,500000,2.688111111,244.9412,,,,,,,
,600000,2.664311111,257.5115778,,,,,,,
,700000,3.707088889,266.1077667,,,,,,,
,800000,4.393022222,280.8528444,,,,,,,
,900000,4.693111111,281.8753444,,,,,,,
,1000000,5.478966667,293.5989444,,,,,,,
